ID	term	parent	description	synonyms	related terms	wiki	other ontology terms	Ensembl documentation
ENSGLOSSARY:0000010	TSL 5	Transcript support level	A transcript where no single transcript supports the model structure.	Transcript support level 5				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000011	TSL NA	Transcript support level	A transcript that was not analysed for TSL.	Transcript support level not applicable				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000012	APPRIS	Transcript	APPRIS is a system to annotate alternatively spliced transcripts based on a range of computational methods to identify the most functionally important transcript(s) of a gene.					http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000013	APPRIS P1	APPRIS	Transcript(s) expected to code for the main functional isoform based solely on the core modules in the APPRIS.	APPRIS Principal 1				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000014	APPRIS P2	APPRIS	"Where the APPRIS core modules are unable to choose a clear principal variant (approximately 25% of human protein coding genes), the database chooses two or more of the CDS variants as ""candidates"" to be the principal variant."	APPRIS Principal 2				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000015	APPRIS P3	APPRIS	"Where the APPRIS core modules are unable to choose a clear principal variant and there more than one of the variants have distinct CCDS identifiers, APPRIS selects the variant with lowest CCDS identifier as the principal variant. The lower the CCDS identifier, the earlier it was annotated."	APPRIS Principal 3				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000016	APPRIS P4	APPRIS	"Where the APPRIS core modules are unable to choose a clear principal CDS and there is more than one variant with a distinct (but consecutive) CCDS identifiers, APPRIS selects the longest CCDS isoform as the principal variant."	APPRIS Principal 4				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000017	APPRIS P5	APPRIS	"Where the APPRIS core modules are unable to choose a clear principal variant and none of the candidate variants are annotated by CCDS, APPRIS selects the longest of the candidate isoforms as the principal variant."	APPRIS Principal 5				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000018	APPRIS ALT1	APPRIS	"For genes in which the APPRIS core modules are unable to choose a clear principal isoform, the ALT1 is the candidate transcript(s) models that is conserved in at least three tested species."	APPRIS Alternative 1				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000019	APPRIS ALT2	APPRIS	"For genes in which the APPRIS core modules are unable to choose a clear principal isoform, the ALT1 is the candidate transcript(s) models that appear to be conserved in fewer than three tested species."	APPRIS Alternative 2				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000020	GENCODE Basic	Transcript	"A subset of the GENCODE transcript set, containing only 5' and 3' complete transcripts."					http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000021	5' incomplete	Transcript	A protein-coding transcript which is missing the start codon due to incomplete evidence.	five prime incomplete				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000022	3' incomplete	Transcript	A protein-coding transcript which is missing the stop codon due to incomplete evidence.	three prime incomplete				http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000023	Canonical transcript	Transcript	"The canonical transcript is used in the gene tree analysis in Ensembl and does not necessarily reflect the most biologically relevant transcript of a gene. For human, the canonical transcript for a gene is set according to the following hierarchy: 1. Longest CCDS translation with no stop codons. 2. If no (1), choose the longest Ensembl/Havana merged translation with no stop codons. 3. If no (2), choose the longest translation with no stop codons. 4. If no translation, choose the longest non-protein-coding transcript."					http://www.ensembl.org/info/genome/genebuild/transcript_quality_tags.html
ENSGLOSSARY:0000024	CCDS	Transcript	"A coding sequence in the Consensus Coding Sequence Set is consistently annotated between Ensembl, MGI, HGNC and NCBI. The long term goal is to support convergence towards a standard set of gene annotations on the human genome."	"Consensus CDS, Consensus Coding Sequence"		https://en.wikipedia.org/wiki/Consensus_CDS_Project		http://www.ensembl.org/info/genome/genebuild/ccds.html
ENSGLOSSARY:0000025	Biotype	Gene	A gene or transcript classification.	"Type, Gene type, Transcript type"				http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000026	Protein coding	Biotype	Gene/transcipt that contains an open reading frame (ORF).	Coding		https://en.wikipedia.org/wiki/Gene	SO:0001217	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000027	Processed transcript	Biotype	Gene/transcript that doesn't contain an open reading frame (ORF).			https://en.wikipedia.org/wiki/Non-coding_RNA		http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000028	Long non-coding RNA (lncRNA)	Processed transcript	A non-coding gene/transcript >200bp in length	"lncRNA, Long non-coding RNA"		https://en.wikipedia.org/wiki/Long_non-coding_RNA	SO:0002127	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000029	Non coding	Long non-coding RNA (lncRNA)	Transcripts which are known from the literature to not be protein coding.			https://en.wikipedia.org/wiki/Non-coding_RNA	SO:0001263	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000030	3' overlapping ncRNA	Long non-coding RNA (lncRNA)	Transcripts where ditag and/or published experimental data strongly supports the existence of long (>200bp) non-coding transcripts that overlap the 3'UTR of a protein-coding locus on the same strand.	three prime overlapping ncRNA				http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000031	Antisense	Long non-coding RNA (lncRNA)	Transcripts that overlap the genomic span (i.e. exon or introns) of a protein-coding locus on the opposite strand.			https://en.wikipedia.org/wiki/Antisense_RNA		http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000032	lincRNA (long intergenic ncRNA)	Long non-coding RNA (lncRNA)	Transcripts that are long intergenic non-coding RNA locus with a length >200bp. Requires lack of coding potential and may not be conserved between species.	"lincRNA, Long interspersed RNA, Long intergenic RNA"		https://en.wikipedia.org/wiki/Long_non-coding_RNA#Long_intergenic_non-coding_RNAs_(lincRNA)	SO:0001641	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000033	Retained intron	Long non-coding RNA (lncRNA)	"An alternatively spliced transcript believed to contain intronic sequence relative to other, coding, transcripts of the same gene."					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000034	Sense intronic	Long non-coding RNA (lncRNA)	A long non-coding transcript in introns of a coding gene that does not overlap any exons.				SO:0002184	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000035	Sense overlapping	Long non-coding RNA (lncRNA)	A long non-coding transcript that contains a coding gene in its intron on the same strand.				SO:0002183	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000036	Macro lncRNA	Long non-coding RNA (lncRNA)	Unspliced lncRNAs that are several kb in size.					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000037	ncRNA	Processed transcript	A non-coding gene.					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000038	miRNA	ncRNA	A small RNA (~22bp) that silences the expression of target mRNA.	micro RNA		https://en.wikipedia.org/wiki/MicroRNA	SO:0001265	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000039	piRNA	ncRNA	An RNA that interacts with piwi proteins involved in genetic silencing.	piwi-interacting RNA		https://en.wikipedia.org/wiki/Piwi-interacting_RNA	SO:0001638	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000040	rRNA	ncRNA	The RNA component of a ribosome.	ribsosomal RNA		https://en.wikipedia.org/wiki/Ribosomal_RNA	SO:0001637	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000041	siRNA	ncRNA	A small RNA (20-25bp) that silences the expression of target mRNA through the RNAi pathway.	"small interfering RNA, short interfering RNA, silencing RNA"		https://en.wikipedia.org/wiki/Small_interfering_RNA		http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000042	snRNA	ncRNA	Small RNA molecules that are found in the cell nucleus and are involved in the processing of pre messenger RNAs	"small nuclear RNA, U-RNA"		https://en.wikipedia.org/wiki/Small_nuclear_RNA		http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000043	snoRNA	ncRNA	Small RNA molecules that are found in the cell nucleolus and are involved in the post-transcriptional modification of other RNAs.	small nucleolar RNA		https://en.wikipedia.org/wiki/Small_nucleolar_RNA	SO:0001272	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000044	tRNA	ncRNA	"A transfer RNA, which acts as an adaptor molecule for translation of mRNA."	transfer RNA		https://en.wikipedia.org/wiki/Transfer_RNA	SO:0001272	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000045	vaultRNA	ncRNA	Short non coding RNA genes that form part of the vault ribonucleoprotein complex.			https://en.wikipedia.org/wiki/Vault_RNA	SO:0000404	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000046	miscRNA	ncRNA	Miscellaneous RNA. A non-coding RNA that cannot be classified.					
ENSGLOSSARY:0000047	Pseudogene	Biotype	A gene that has homology to known protein-coding genes but contain a frameshift and/or stop codon(s) which disrupts the ORF. Thought to have arisen through duplication followed by loss of function.			https://en.wikipedia.org/wiki/Pseudogene	SO:0000336	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000048	Processed pseudogene	Pseudogene	Pseudogene that lack introns and is thought to arise from reverse transcription of mRNA followed by reinsertion of DNA into the genome.			https://en.wikipedia.org/wiki/Pseudogene#Processed	SO:0000043	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000049	Unprocessed pseudogene	Pseudogene	Pseudogene that can contain introns since produced by gene duplication.	Non-processed pseudogene		https://en.wikipedia.org/wiki/Pseudogene#Non-processed	SO:0001760	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000050	Transcribed pseudogene	Pseudogene	"Pseudogene where protein homology or genomic structure indicates a pseudogene, but the presence of locus-specific transcripts indicates expression. These can be classified into 'Processed', 'Unprocessed' and 'Unitary'."				"SO:0002109, SO:0002107, SO:0002108"	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000051	Translated pseudogene	Pseudogene	"Pseudogenes that have mass spec data suggesting that they are also translated. These can be classified into 'Processed', 'Unprocessed'"				"SO:0002105, SO:0002106"	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000052	Polymorphic pseudogene	Pseudogene	Pseudogene owing to a SNP/indel but in other individuals/haplotypes/strains the gene is translated.					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000053	Unitary pseudogene	Pseudogene	"A species specific unprocessed pseudogene without a parent gene, as it has an active orthologue in another species."			https://en.wikipedia.org/wiki/Pseudogene#Unitary_pseudogenes	SO:0001759	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000054	IG pseudogene	Pseudogene	Inactivated immunoglobulin gene.					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000055	IG gene	Biotype	"Immunoglobulin gene that undergoes somatic recombination, annotated in collaboration with IMGT http://www.imgt.org/."	Immunoglobulin gene		https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002122	"http://www.ensembl.org/info/genome/genebuild/biotypes.html, http://www.ensembl.org/info/genome/genebuild/ig_tcr.html"
ENSGLOSSARY:0000056	TR gene	Biotype	"T cell receptor gene that undergoes somatic recombination, annotated in collaboration with IMGT http://www.imgt.org/."	T cell receptor gene		https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002133	"http://www.ensembl.org/info/genome/genebuild/biotypes.html, http://www.ensembl.org/info/genome/genebuild/ig_tcr.html"
ENSGLOSSARY:0000057	TEC (To be Experimentally Confirmed)	Biotype	"Regions with EST clusters that have polyA features that could indicate the presence of protein coding genes. These require experimental validation, either by 5' RACE or RT-PCR to extend the transcripts, or by confirming expression of the putatively-encoded peptide with specific antibodies."					http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000058	Readthrough	Biotype	A readthrough transcript has exons that overlap exons from transcripts belonging to two or more different loci (in addition to the locus to which the readthrough transcript itself belongs).	read-through				http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000059	IG V gene	IG gene	Variable chain immunoglobulin gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002126	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000060	IG D gene	IG gene	Diversity chain immunoglobulin gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002124	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000061	IG J gene	IG gene	Joining chain immunoglobulin gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002125	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000062	IG C gene	IG gene	Constant chain immunoglobulin gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002123	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000063	TR V gene	TR gene	Variable chain T cell receptor gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002137	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000064	TR D gene	TR gene	Diversity chain T cell receptor gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002135	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000065	TR J gene	TR gene	Joining chain T cell receptor gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002136	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000066	TR C gene	TR gene	Constant chain T cell receptor gene that undergoes somatic recombination before transcription			https://en.wikipedia.org/wiki/V(D)J_recombination	SO:0002134	http://www.ensembl.org/info/genome/genebuild/biotypes.html
ENSGLOSSARY:0000067	cDNA	Transcript	"The sequence of the spliced exons of a transcript expressed in DNA notation (T rather than U), representing the coding or sense strand. The cDNA contains the whole sequence of the RNA, including coding and untranslated sequence."	complementary DNA		https://en.wikipedia.org/wiki/Complementary_DNA	SO:0000756	
ENSGLOSSARY:0000068	CDS	Transcript	"CoDing Sequence. The region of a cDNA which is translated. In Ensembl displays, the stop codon is included as part of the CDS sequence."	"coding sequence, translated sequence, translatable sequence, open reading frame, ORF"			SO:0000316	
ENSGLOSSARY:0000069	Peptide	Transcript	"A sequence of amino acids, translated from a CDS."	"Protein, Translation"		https://en.wikipedia.org/wiki/Peptide		
ENSGLOSSARY:0000070	Protein domain	Peptide	"A region of special biological interest within a single protein sequence. However, a domain may also be defined as a region within the three-dimensional structure of a protein that may encompass regions of several distinct protein sequences that accomplishes a specific function. A domain class is a group of domains that share a common set of well-defined properties or characteristics."	Domain		https://en.wikipedia.org/wiki/Protein_domain		
ENSGLOSSARY:0000071	Exon	Transcript	"Transcribed genomic region that remains in the RNA after splicing, includes both the CDS and the UTRs."			https://en.wikipedia.org/wiki/Exon	SO:0000147	
ENSGLOSSARY:0000072	Intron	Transcript	Transcribed genomic regions that is removed from the RNA by splicing.			https://en.wikipedia.org/wiki/Intron	SO:0000188	
ENSGLOSSARY:0000073	Codon	CDS	Three base pairs in either DNA or RNA that code for an amino acid (or stop translation).			https://en.wikipedia.org/wiki/Genetic_code	SO:0000360	
ENSGLOSSARY:0000074	Constitutive exon	Exon	"Exons that are not spliced out, therefore present in all transcripts of a given gene."					
ENSGLOSSARY:0000075	Phase	Exon	"The position of an exon/intron boundary within a codon. A phase of zero means the boundary falls between codons, one means between the first and second base and two means between the second and third base. Exons have a start and end phase, whereas introns have just one phase. A boundary in a non-coding region has a phase of -1."					
ENSGLOSSARY:0000076	Flanking sequence	Genome annotation	"Sequence 5' or 3' to a DNA or RNA sequence of interest (for example gene, transcript, SNP or repeat)."	"flanking region, flank"			SO:0000239	
ENSGLOSSARY:0000077	Untranslated region	Transcript	The region of a coding cDNA which is not translated.	UTR		https://en.wikipedia.org/wiki/Untranslated_region	SO:0000203	
ENSGLOSSARY:0000078	5' UTR	Transcript	The region of a coding cDNA upstream of the start codon which is not translated.	"five prime UTR, 5' untranslated region, five prime untranslated region"		https://en.wikipedia.org/wiki/Untranslated_region	SO:0000204	
ENSGLOSSARY:0000079	3' UTR	Transcript	The region of a coding cDNA downstream of the stop codon which is not translated.	"three prime UTR, 3' untranslated region, three prime untranslated region"		https://en.wikipedia.org/wiki/Untranslated_region	SO:0000205	
ENSGLOSSARY:0000080	Homologues	Gene	Specific genes that are descended from the same common sequence in an ancestor.	Homologs		https://en.wikipedia.org/wiki/Sequence_homology	"SO:0000853, FHOM_0000007"	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000081	Gene tree	Homologues	"A representation of the evolutionary relationship between homologues, constructed using the Ensembl gene tree pipeline."	Protein tree		 https://en.wikipedia.org/wiki/Phylogenetic_tree		http://www.ensembl.org/info/genome/compara/homology_method.html
ENSGLOSSARY:0000082	Orthologues	Homologues	Orthologues are genes derived from a common ancestor through vertical descent (or speciation) and can be thought of as the direct evolutionary counterpart.	Orthologs		https://en.wikipedia.org/wiki/Sequence_homology#Orthology	FHOM_0000017	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000083	1-to-1 orthologues	Orthologues	A type of orthologue assigned for a pair of species where only one copy is found in each species.	"1-to-1 orthologs, one-to-one orthologues, one-to-one orthologs"			FHOM_0000020	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000084	1-to-many orthologues	Orthologues	"A type of orthologue assigned for a pair of species where one gene in one species is orthologous to multiple genes in the other species, due to (a) duplication event(s) in the second species."	"1-to-many orthologs, one-to-many orthologues, one-to-many orthologs"			FHOM_0000034	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000085	Many-to-many orthologues	Orthologues	"A type of orthologue assigned for a pair of species where multiple orthologues are found in both species, where the duplication events in both species occurred after the speciation event."	many-to-many orthologs			FHOM_0000048	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000086	Paralogues	Homologues	Genes (homologues) that have evolved by duplication.	Paralogs		https://en.wikipedia.org/wiki/Sequence_homology#Paralogy	FHOM_0000011	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000087	Between species paralogues	Paralogues	"Members of the same gene family in different species that are not direct orthologues. In a gene tree, these genes are separated by a duplication node."	"Between species paralogs, out paralogues, out paralogs"			FHOM_0000050	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000088	Gene split	Paralogues	"Pairs of genes in a species that occur together in the same tree, but are actually two halves of the same gene split partway along."					http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000089	Other paralogues	Paralogues	"Paralogues which are very far away from the other members of a paralogue family. They are part of the same super-family, but the precise taxonomic relationship to other members is undefined, as the trees are too large to compute."	Other paralogs				http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000090	Within species paralogues	Paralogues	"Two or more versions of a duplicated gene in a single species. In a gene tree, the genes are separated by a duplication node."	"Within species paralogs, In paralogues, In paralogs"			FHOM_0000049	http://www.ensembl.org/info/genome/compara/homologue_types.html
ENSGLOSSARY:0000091	Homoeologues	Homologues	"Pairs of genes in a polyploid genome that underwent (a) hybridisation event(s). The original genes were orthologues in the two (or more) species that hybridised, and now occur in the same species. Since they did not arise through a duplication event, they are not paralogues."			https://en.wikipedia.org/wiki/Polyploid#Homoeologous	FHOM_0000073	
ENSGLOSSARY:0000092	Variant	Genome annotation	Locus where the sequence differs between individuals of the same species	"Polymorphism, variation, mutation"		https://en.wikipedia.org/wiki/Genetic_variation	SO:0001060	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000093	QTL	Variant	Genetic loci where allelic variation is associated with variation in a quantitative trait (e.g. blood pressure).	Quantitative trait locus		https://en.wikipedia.org/wiki/Quantitative_trait_locus	SO:0000771	
ENSGLOSSARY:0000094	eQTL	QTL	Genetic loci where allelic variation is associated with expression levels of other genes.	Expression quantitative trait locus		https://en.wikipedia.org/wiki/Expression_quantitative_trait_loci		
ENSGLOSSARY:0000095	Evidence status	Variant	Codes that reflect the amount and type of evidence that supports the existence of a variant.					http://www.ensembl.org/info/genome/variation/data_description.html#evidence_status
ENSGLOSSARY:0000096	Sequence variant	Variant	Variant that only affects a small locus					http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000097	Structural variant	Variant	Variant that affects a large locus				SO:0001537	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000098	SNP	Sequence variant	"Single Nucleotide Polymorphism, substitution of a single nucleotide for another nucleotide"	"Single nucleotide polymorphism, point mutation, base-pair substitution, SNV, single nucleotide variation"		https://en.wikipedia.org/wiki/Single-nucleotide_polymorphism	SO:0000694	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000099	Insertion	Sequence variant	Insertion of one or more nucleotides			https://en.wikipedia.org/wiki/Insertion_(genetics)	SO:0000667	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000100	Deletion	Sequence variant	Deletion of one or more nucleotides			https://en.wikipedia.org/wiki/Deletion_(genetics)	SO:0000159	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000101	Indel	Sequence variant	"An insertion and a deletion, affecting two or more nucleotides"			https://en.wikipedia.org/wiki/Indel	SO:1000032	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000102	Substitution	Sequence variant	A sequence alteration where the length of the deleted sequence is the same as the length of the inserted sequence.				SO:1000002	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000103	CNV	Structural variant	Copy Number Variation: increases or decreases the copy number of a given locus. Subcategorised into Loss and Gain compared to the reference.	"Copy number variation, duplication, deletion, CNP, copy number polymorphism, copy number loss, copy number gain"		https://en.wikipedia.org/wiki/Copy-number_variation	SO:0001019	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000104	Inversion	Structural variant	A continuous nucleotide sequence is inverted in the same position			https://en.wikipedia.org/wiki/Chromosomal_inversion	SO:1000036	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000105	Translocation	Structural variant	A region of nucleotide sequence that has translocated to a new position	chromosome rearrangement		https://en.wikipedia.org/wiki/Chromosomal_translocation	SO:0000199	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000106	Allele (variant)	Variant	One of a number of alternative forms of the same genetic locus/variant.				SO:0001023	http://www.ensembl.org/info/genome/variation/index.html
ENSGLOSSARY:0000107	Allele (gene)	Gene	Different versions of a gene found between the primary assembly and a patch or genome haplotype.	"Alt gene, alternative sequence gene, haplotype gene, patch gene"	Allele (variant)			http://www.ensembl.org/info/genome/genebuild/haplotypes_patches.html
ENSGLOSSARY:0000108	Reference allele	Allele (variant)	The allele of a variant found in the reference genome currently being studied. The reference allele is not necessarily the major or ancestral allele.					
ENSGLOSSARY:0000109	Alternative allele	Allele (variant)	Any allele of a variant which is not the in the reference genome currently being studied. The alternative allele is not necessarily the minor allele.					
ENSGLOSSARY:0000110	Major allele	Allele (variant)	"The allele which is most frequent in the global population, defined in human by the 1000 Genomes Project. The major allele may be the reference or the alternative allele, and may or may not be the ancestral allele."			https://en.wikipedia.org/wiki/Allele_frequency		http://www.ensembl.org/info/genome/variation/data_description.html#maf
ENSGLOSSARY:0000111	Minor allele	Allele (variant)	"The allele which is the second most frequent in the global population, defined in human by the 1000 Genomes Project. The minor allele may be the reference or the alternative allele, and may or may not be the ancestral allele."			https://en.wikipedia.org/wiki/Allele_frequency		http://www.ensembl.org/info/genome/variation/data_description.html#maf
ENSGLOSSARY:0000112	Private allele	Allele (variant)	"An allele which has only been identified in one individual or one family. A private allele may be the reference or the alternative allele, and may or may not be the ancestral allele."					
ENSGLOSSARY:0000113	Ancestral allele	Allele (variant)	"The allele which occurs at this locus in closely related species and is thought to reflect the allele present at the time of speciation. The ancestral allele may be the reference or the alternative allele, and the major or minor allele."					
ENSGLOSSARY:0000114	Minor allele frequency	Minor allele	The frequency of the second most common allele in the specified population.	MAF		https://en.wikipedia.org/wiki/Allele_frequency		http://www.ensembl.org/info/genome/variation/data_description.html#maf
ENSGLOSSARY:0000115	Highest population MAF	Minor allele frequency	"The highest minor allele frequency observed in any population typed for this variant. For human this includes the 1000 Genomes Project, gnomAD and UK10K."	"HPMAF, Highest population minor allele frequency"		https://en.wikipedia.org/wiki/Allele_frequency		http://www.ensembl.org/info/genome/variation/data_description.html#maf
ENSGLOSSARY:0000116	Global MAF	Minor allele frequency	"The frequency of the second most common allele in the global population, defined in human by the 1000 Genomes Project phase 3."					http://www.ensembl.org/info/genome/variation/data_description.html#maf
ENSGLOSSARY:0000117	Genotype	Allele (variant)	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).	Zygosity				http://www.ensembl.org/info/genome/variation/data_description.html
